C0 4 2.517767
C1 4 0.206838
C2 4 0.523994
C3 3 0.138131
C4 4 2.050099
C5 2 4.505985
E N76 N59 9.893914
E N76 N62 8.437799
E N76 N70 6.261298
E N77 N23 7.538775
E N77 N25 6.653256
E N77 N31 1.241867
E N77 N74 9.711025
E N78 N8 0.139191
E N78 N11 4.790990
E N78 N17 6.117812
E N78 N60 1.866940
E N79 N2 7.245581
E N79 N15 4.327884
E N79 N36 9.405851
E N79 N64 3.596101
E N79 N74 8.868588
E N79 N76 6.721092
E N80 N37 2.773795
E N80 N71 6.608024
E N81 N9 8.223309
E N81 N20 3.695199
E N81 N31 3.269895
E N81 N56 2.080938
E N81 N62 7.870713
E N81 N65 6.584589
E N82 N14 6.338243
E N82 N40 9.662357
E N83 N7 1.583866
E N83 N13 6.069078
E N83 N29 4.435017
E N83 N34 8.930782
E N83 N62 9.036616
E N84 N23 5.571430
E N84 N25 9.508177
E N84 N30 9.462944
E N84 N45 7.499552
E N84 N49 1.172830
E N84 N74 3.180644
E N85 N0 0.154224
E N85 N7 9.800274
E N85 N13 2.398303
E N85 N68 9.308808
E N86 N27 3.717257
E N86 N35 8.989189
E N86 N51 8.200375
E N86 N58 7.932999
E N87 N3 9.562076
E N87 N5 0.857183
E N87 N22 1.373363
E N87 N40 7.994997
E N87 N43 5.813633
E N87 N52 4.171225
E N87 N64 0.218935
E N88 N1 4.327578
E N88 N11 4.335708
E N88 N25 0.384919
E N88 N85 0.764888
E N89 N1 3.697697
E N89 N6 0.993856
E N89 N23 5.783708
E N89 N54 5.565273
E N90 N37 2.197752
E N90 N38 7.688889
E N90 N55 2.459526
E N90 N59 2.673574
E N90 N66 1.321993
E N90 N73 9.739738
E N91 N6 7.763484
E N91 N9 6.084879
E N91 N19 0.984888
E N91 N31 0.555559
E N91 N32 9.645931
E N91 N41 8.636385
E N91 N65 3.599852
E N91 N77 3.570755
E N92 N36 9.462998
E N92 N61 5.934788
E N92 N87 4.935116
E N93 N4 4.951179
E N93 N27 2.488009
E N93 N31 8.326683
E N93 N32 4.114676
E N93 N43 7.087324
E N93 N57 0.325329
E N93 N62 7.161357
E N93 N83 8.637537
E N94 N23 4.449485
E N94 N40 0.328616
E N94 N75 4.090100
E N95 N31 1.124185
E N95 N50 9.808323
E N95 N55 9.144441
E N95 N61 8.488895
E N95 N72 9.888535
E N95 N75 2.188549
E N95 N77 9.948751
E N96 N39 0.630079
E N96 N68 0.916294
E N96 N70 5.326071
E N96 N72 0.337760
E N96 N84 0.314598
E N97 N14 3.907421
E N97 N22 5.655962
E N97 N34 1.592107
E N97 N53 4.429349
E N97 N79 3.589387
E N98 N34 6.705235
E N98 N56 3.275805
E N98 N71 9.994355
E N98 N73 1.515218
E N98 N84 6.246646
E N99 N6 3.480497
E N99 N32 3.082794
E N99 N40 4.902306
E N99 N51 8.318789
E N99 N63 5.633543
E N99 N64 4.987786
E N99 N79 3.457612
E N99 N80 8.299690
E N99 N92 4.504748
E EXIT N57 3.305799

